127.0.0.1, 2018-01-30 00:21:27, GET, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.061137
127.0.0.1, 2018-01-30 00:21:28, GET, /admin/default/edit/simpleNN/views/test_predict.html, HTTP/1.1, 200, 0.064496
127.0.0.1, 2018-01-30 00:21:29, GET, /admin/default/edit/simpleNN/views/test_predict.html, HTTP/1.1, 200, 0.058672
127.0.0.1, 2018-01-30 00:21:29, GET, /admin/default/edit/simpleNN/views/test_predict.html, HTTP/1.1, 200, 0.058175
127.0.0.1, 2018-01-30 00:21:30, GET, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.059299
127.0.0.1, 2018-01-30 00:21:30, GET, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.057971
127.0.0.1, 2018-01-30 00:21:30, GET, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.057976
127.0.0.1, 2018-01-30 00:21:32, GET, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.152002
127.0.0.1, 2018-01-30 00:21:34, GET, /admin/default/edit/simpleNN/views/test-predict.html, HTTP/1.1, 200, 0.108281
127.0.0.1, 2018-01-30 00:21:34, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.033010
127.0.0.1, 2018-01-30 00:21:35, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.061257
127.0.0.1, 2018-01-30 00:21:35, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.416307
127.0.0.1, 2018-01-30 00:21:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.495157
127.0.0.1, 2018-01-30 00:21:36, GET, /simpleNN/appadmin/hooks, HTTP/1.1, 200, 0.852310
127.0.0.1, 2018-01-30 00:21:49, POST, /admin/default/edit/simpleNN/views/test_predict.html, HTTP/1.1, 200, 0.054921
127.0.0.1, 2018-01-30 00:21:49, POST, /admin/default/edit/simpleNN/views/test_predict.html, HTTP/1.1, 200, 0.036178
127.0.0.1, 2018-01-30 00:21:53, GET, /simpleNN/test-predict.html, HTTP/1.1, 400, 0.001415
127.0.0.1, 2018-01-30 00:21:55, GET, /simpleNN/test-predict.html, HTTP/1.1, 400, 0.001398
127.0.0.1, 2018-01-30 00:21:55, GET, /simpleNN/test-predict.html, HTTP/1.1, 400, 0.001391
